state,year,month,total_consumption_ML,domestic_ML,agriculture_ML,industrial_ML,population_est
Andhra Pradesh,2019,4,1357991.29,1355352.99,2042.56,595.74,3246268
Andhra Pradesh,2019,5,1356528.48,1353249.03,2597.01,682.45,3246268
Andhra Pradesh,2019,6,912590.58,911358.04,1036.45,196.1,3246268
Andhra Pradesh,2019,7,1185516.87,1182807.56,2250.73,458.59,3246268
Andhra Pradesh,2019,8,1122509.48,1121071.67,1218.92,218.9,3246268
Andhra Pradesh,2019,9,1004864.06,1001484.22,2965.11,414.74,3246268
Andhra Pradesh,2019,10,713811.71,709879.42,3139.48,792.81,3246268
Andhra Pradesh,2019,11,1000660.36,996635.02,3221.37,803.97,3246268
Andhra Pradesh,2019,12,955492.23,950868.09,3702.43,921.71,3246268
Andhra Pradesh,2020,1,1170811.93,1168971.71,1540.48,299.73,3277482
Andhra Pradesh,2020,2,757437.11,755125.41,1949.72,361.99,3277482
Andhra Pradesh,2020,3,950720.7,948363.52,2179.01,178.17,3277482
Andhra Pradesh,2020,4,1116719.48,1113295.15,3101.87,322.46,3277482
Andhra Pradesh,2020,5,1157255.28,1155960.51,1092.48,202.28,3277482
Andhra Pradesh,2020,6,1111473.89,1108328.34,2430.94,714.61,3277482
Andhra Pradesh,2020,7,966610.39,964836.44,1529.6,244.34,3277482
Andhra Pradesh,2020,8,672579.78,671240.54,1037.64,301.6,3277482
Andhra Pradesh,2020,9,993830.82,991440.32,2194.91,195.59,3277482
Andhra Pradesh,2020,10,699183.13,696577.83,2120.45,484.84,3277482
Andhra Pradesh,2020,11,910149.71,907892.97,1954.06,302.68,3277482
Andhra Pradesh,2020,12,759197.26,756771.37,1957.21,468.68,3277482
Andhra Pradesh,2021,1,698703.88,697249.1,1244.95,209.83,3308696
Andhra Pradesh,2021,2,801698.11,799007.09,2303.23,387.79,3308696
Andhra Pradesh,2021,3,889616.05,886775.51,2349.94,490.6,3308696
Andhra Pradesh,2021,4,823256.87,821438.89,1506.87,311.12,3308696
Andhra Pradesh,2021,5,1095184.32,1092352.62,2652.3,179.41,3308696
Andhra Pradesh,2021,6,1123055.54,1121841.59,1014.63,199.32,3308696
Andhra Pradesh,2021,7,1211008.9,1207801.27,2754.37,453.27,3308696
Andhra Pradesh,2021,8,919066.81,915927.5,2738.11,401.2,3308696
Andhra Pradesh,2021,9,1064411.69,1060960.34,3232.22,219.14,3308696
Andhra Pradesh,2021,10,738338.2,735429.14,2755.26,153.79,3308696
Andhra Pradesh,2021,11,992563.38,990561.02,1658.63,343.73,3308696
Andhra Pradesh,2021,12,1088308.58,1085203.78,2482.11,622.69,3308696
Andhra Pradesh,2022,1,854728.62,852809.81,1478.71,440.1,3339910
Andhra Pradesh,2022,2,997375.09,994911.57,1980.16,483.36,3339910
Andhra Pradesh,2022,3,1004469.66,1000556.56,3161.54,751.55,3339910
Andhra Pradesh,2022,4,1284897.48,1283207.27,1324.99,365.22,3339910
Andhra Pradesh,2022,5,1107693.44,1103988.79,3229.01,475.63,3339910
Andhra Pradesh,2022,6,757773.46,754486.12,3064.2,223.14,3339910
Andhra Pradesh,2022,7,877587.53,873561.27,3333.1,693.15,3339910
Andhra Pradesh,2022,8,876532.86,874534.56,1765.03,233.28,3339910
Andhra Pradesh,2022,9,934381.38,931153.77,3008.58,219.03,3339910
Andhra Pradesh,2022,10,826728.38,825379.51,1136.01,212.87,3339910
Andhra Pradesh,2022,11,822346.85,819276.92,2827.48,242.45,3339910
Andhra Pradesh,2022,12,1038278.45,1035732.7,2367.52,178.23,3339910
Andhra Pradesh,2023,1,752319.29,749573.46,2563.3,182.53,3371124
Andhra Pradesh,2023,2,1353126.85,1350915.15,1935.58,276.13,3371124
Andhra Pradesh,2023,3,1313353.8,1309550.06,3056.96,746.78,3371124
Andhra Pradesh,2023,4,1170969.35,1168468.37,1959.12,541.87,3371124
Andhra Pradesh,2023,5,866464.21,864144.18,2180.32,139.71,3371124
Andhra Pradesh,2023,6,828193.8,826756.74,1185.39,251.66,3371124
Andhra Pradesh,2023,7,1124160.97,1121486.12,2385.22,289.63,3371124
Andhra Pradesh,2023,8,1103095.63,1101067.95,1570.86,456.81,3371124
Andhra Pradesh,2023,9,620759.73,617025.88,3494.64,239.21,3371124
Andhra Pradesh,2023,10,865500.24,861477.58,3406.8,615.86,3371124
Andhra Pradesh,2023,11,922845.46,918776.28,3402.1,667.08,3371124
Andhra Pradesh,2023,12,1119051.11,1117989.3,947.85,113.97,3371124
Andhra Pradesh,2024,1,1252358.73,1247757.66,4110.49,490.57,3402339
Andhra Pradesh,2024,2,878865.9,876658.17,1939.44,268.3,3402339
Andhra Pradesh,2024,3,1176203.62,1174858.89,1192.79,151.94,3402339
Andhra Pradesh,2024,4,1349468.23,1345831.67,3334.3,302.27,3402339
Andhra Pradesh,2024,5,1387873.1,1384547.79,2591.46,733.85,3402339
Andhra Pradesh,2024,6,1291290.32,1289922.4,1294.65,73.27,3402339
Andhra Pradesh,2024,7,925426.46,922296.65,2421.56,708.25,3402339
Andhra Pradesh,2024,8,1101607.06,1097373.44,3627.24,606.38,3402339
Andhra Pradesh,2024,9,823467.15,821411.47,1654.81,400.87,3402339
Andhra Pradesh,2024,10,1061394.45,1057872.77,3167.44,354.24,3402339
Andhra Pradesh,2024,11,840474.62,839037.78,1297.77,139.07,3402339
Andhra Pradesh,2024,12,1011068.02,1007984.42,2706.0,377.6,3402339
Andhra Pradesh,2025,1,784133.21,780307.92,3241.66,583.63,3433553
Andhra Pradesh,2025,2,1296133.17,1293216.4,2450.58,466.19,3433553
Andhra Pradesh,2025,3,1377764.07,1375088.85,2182.04,493.18,3433553
Andhra Pradesh,2025,4,964392.59,962773.34,1536.82,82.43,3433553
Andhra Pradesh,2025,5,1037692.04,1034935.87,2159.94,596.23,3433553
Andhra Pradesh,2025,6,985392.35,983212.05,1749.96,430.34,3433553
Andhra Pradesh,2025,7,944660.25,942248.71,2070.38,341.17,3433553
Andhra Pradesh,2025,8,1182986.48,1180444.22,2245.44,296.82,3433553
Andhra Pradesh,2025,9,939606.42,937783.44,1664.11,158.87,3433553
Andhra Pradesh,2025,10,779614.19,776164.54,2952.22,497.42,3433553
Andhra Pradesh,2025,11,956240.61,954790.85,1324.89,124.87,3433553
Andhra Pradesh,2025,12,709976.01,708628.07,1156.84,191.1,3433553
Arunachal Pradesh,2015,1,1850566.15,1848468.81,1978.95,118.4,7615571
Arunachal Pradesh,2015,2,2798676.2,2796331.28,2190.61,154.31,7615571
Arunachal Pradesh,2015,3,3049006.19,3045517.08,2787.83,701.28,7615571
Arunachal Pradesh,2015,4,2918056.08,2916761.97,1173.97,120.14,7615571
Arunachal Pradesh,2015,5,2325769.54,2323989.99,1526.68,252.87,7615571
Arunachal Pradesh,2015,6,2726603.26,2725462.15,1025.16,115.96,7615571
Arunachal Pradesh,2015,7,2496088.62,2492004.69,3792.67,291.25,7615571
Arunachal Pradesh,2015,8,1995360.25,1992876.18,2236.66,247.41,7615571
Arunachal Pradesh,2015,9,1679445.41,1677821.66,1503.55,120.19,7615571
Arunachal Pradesh,2015,10,2311591.49,2309356.14,1832.59,402.76,7615571
Arunachal Pradesh,2015,11,2254310.42,2252019.7,1914.18,376.54,7615571
Arunachal Pradesh,2015,12,2344477.32,2342780.03,1568.82,128.48,7615571
Arunachal Pradesh,2016,1,1968294.76,1966230.85,1812.0,251.91,7691726
Arunachal Pradesh,2016,2,3085110.04,3082143.98,2673.8,292.26,7691726
Arunachal Pradesh,2016,3,1959208.72,1958036.93,1068.52,103.26,7691726
Arunachal Pradesh,2016,4,2264556.11,2263110.4,1134.61,311.1,7691726
Arunachal Pradesh,2016,5,1929042.13,1926823.92,2057.69,160.52,7691726
Arunachal Pradesh,2016,6,2274677.02,2270911.51,2973.46,792.06,7691726
Arunachal Pradesh,2016,7,2651788.28,2649892.24,1478.57,417.47,7691726
Arunachal Pradesh,2016,8,2144548.45,2142473.65,1852.51,222.29,7691726
Arunachal Pradesh,2016,9,2253911.37,2252590.25,1122.54,198.58,7691726
Arunachal Pradesh,2016,10,1627232.71,1626221.11,841.15,170.46,7691726
Arunachal Pradesh,2016,11,1718713.69,1716224.96,2103.49,385.25,7691726
Arunachal Pradesh,2016,12,1545167.86,1543712.59,1342.99,112.28,7691726
Arunachal Pradesh,2017,1,1704222.58,1700357.06,3471.01,394.52,7767882
Arunachal Pradesh,2017,2,2691029.88,2688160.42,2393.39,476.07,7767882
Arunachal Pradesh,2017,3,2520753.51,2518367.54,1897.16,488.81,7767882
Arunachal Pradesh,2017,4,3299172.48,3297829.81,1089.19,253.47,7767882
Arunachal Pradesh,2017,5,3202666.26,3201162.76,1259.62,243.88,7767882
Arunachal Pradesh,2017,6,2912705.01,2911293.5,1130.28,281.23,7767882
Arunachal Pradesh,2017,7,1880881.91,1879345.06,1263.55,273.31,7767882
Arunachal Pradesh,2017,8,2125324.07,2123331.91,1569.5,422.67,7767882
Arunachal Pradesh,2017,9,1852538.9,1850161.0,2039.93,337.96,7767882
Arunachal Pradesh,2017,10,1709841.39,1707213.8,2234.96,392.64,7767882
Arunachal Pradesh,2017,11,1673721.35,1669664.4,3177.89,879.06,7767882
Arunachal Pradesh,2017,12,2245528.88,2244490.98,807.74,230.17,7767882
Arunachal Pradesh,2018,1,2456844.97,2454802.26,1695.17,347.54,7844038
Arunachal Pradesh,2018,2,2509933.75,2506458.68,2786.41,688.66,7844038
Arunachal Pradesh,2018,3,2072342.39,2070509.41,1731.86,101.11,7844038
Arunachal Pradesh,2018,4,2739086.68,2736096.12,2356.28,634.29,7844038
Arunachal Pradesh,2018,5,2355112.67,2351772.36,2673.69,666.61,7844038
Arunachal Pradesh,2018,6,1968931.75,1967430.18,1220.22,281.34,7844038
Arunachal Pradesh,2018,7,2578244.15,2575506.95,2459.41,277.79,7844038
Arunachal Pradesh,2018,8,1931647.49,1929657.95,1557.84,431.7,7844038
Arunachal Pradesh,2018,9,2087596.48,2085503.85,1922.78,169.85,7844038
Arunachal Pradesh,2018,10,2042912.53,2040489.72,2014.21,408.61,7844038
Arunachal Pradesh,2018,11,1446063.73,1442489.64,2919.62,654.47,7844038
Arunachal Pradesh,2018,12,2630134.1,2627180.06,2714.77,239.27,7844038
Arunachal Pradesh,2019,1,2414284.81,2410759.64,2746.34,778.84,7920193
Arunachal Pradesh,2019,2,3089166.0,3087207.28,1816.48,142.25,7920193
Arunachal Pradesh,2019,3,3336732.27,3333286.95,2876.33,568.99,7920193
Arunachal Pradesh,2019,4,2504522.49,2503247.37,1124.64,150.48,7920193
Arunachal Pradesh,2019,5,3062760.94,3061850.49,768.73,141.72,7920193
Arunachal Pradesh,2019,6,3080637.26,3079100.48,1351.93,184.86,7920193
Arunachal Pradesh,2019,7,2625603.98,2623565.86,1878.08,160.04,7920193
Arunachal Pradesh,2019,8,1743599.57,1741661.14,1678.69,259.75,7920193
Arunachal Pradesh,2019,9,2488664.84,2486444.76,2107.79,112.29,7920193
Arunachal Pradesh,2019,10,2148926.56,2147041.48,1461.0,424.08,7920193
Arunachal Pradesh,2019,11,1609022.94,1606441.18,2420.17,161.59,7920193
Arunachal Pradesh,2019,12,2443760.67,2442011.5,1372.42,376.75,7920193
Arunachal Pradesh,2020,1,1940892.55,1939300.87,1336.19,255.49,7996349
Arunachal Pradesh,2020,2,1887986.41,1884988.53,2577.0,420.88,7996349
Arunachal Pradesh,2020,3,2674403.77,2671967.31,2237.73,198.73,7996349
Arunachal Pradesh,2020,4,2197487.23,2194621.26,2227.68,638.29,7996349
Arunachal Pradesh,2020,5,2445867.49,2444461.91,1330.61,74.98,7996349
Arunachal Pradesh,2020,6,2018406.72,2014565.71,3162.02,678.98,7996349
Arunachal Pradesh,2020,7,1703642.14,1702017.66,1539.9,84.58,7996349
Arunachal Pradesh,2020,8,1671969.86,1669305.19,2434.3,230.37,7996349
Arunachal Pradesh,2020,9,2208162.77,2206422.25,1414.4,326.11,7996349
Arunachal Pradesh,2020,10,2388538.16,2385367.04,2759.18,411.93,7996349
Arunachal Pradesh,2020,11,2225761.86,2224209.37,1474.0,78.49,7996349
Arunachal Pradesh,2020,12,1647782.72,1646375.59,1331.71,75.42,7996349
Arunachal Pradesh,2021,1,1929128.72,1925878.35,2591.26,659.12,8072505
Arunachal Pradesh,2021,2,2304002.12,2302283.42,1501.16,217.55,8072505
Arunachal Pradesh,2021,3,2799167.43,2797602.4,1317.35,247.68,8072505
Arunachal Pradesh,2021,4,2611352.48,2608825.84,1963.02,563.61,8072505
Arunachal Pradesh,2021,5,3062641.99,3061068.24,1235.63,338.12,8072505
Arunachal Pradesh,2021,6,2967078.05,2964754.56,2201.07,122.42,8072505
Arunachal Pradesh,2021,7,2045283.5,2043255.16,1869.72,158.62,8072505
Arunachal Pradesh,2021,8,2598993.27,2594719.09,3617.82,656.35,8072505
Arunachal Pradesh,2021,9,1666072.31,1664278.45,1603.79,190.07,8072505
Arunachal Pradesh,2021,10,2066042.56,2063266.83,2207.46,568.28,8072505
Arunachal Pradesh,2021,11,1706090.77,1704948.9,951.45,190.41,8072505
Arunachal Pradesh,2021,12,2385183.02,2383284.64,1484.73,413.65,8072505
Arunachal Pradesh,2022,1,2268265.34,2266374.21,1732.48,158.65,8148660
Arunachal Pradesh,2022,2,2903814.99,2902466.31,1123.16,225.52,8148660
Arunachal Pradesh,2022,3,2296728.77,2294663.82,1679.15,385.8,8148660
Arunachal Pradesh,2022,4,2418620.47,2416335.98,1954.2,330.28,8148660
Arunachal Pradesh,2022,5,2939687.88,2936593.17,2925.62,169.09,8148660
Arunachal Pradesh,2022,6,2210628.11,2207857.75,2606.52,163.84,8148660
Arunachal Pradesh,2022,7,2374708.95,2371757.75,2741.1,210.1,8148660
Arunachal Pradesh,2022,8,1667650.03,1664706.86,2507.24,435.94,8148660
Arunachal Pradesh,2022,9,2293299.36,2290583.9,2172.62,542.84,8148660
Arunachal Pradesh,2022,10,2246725.9,2244945.23,1486.91,293.75,8148660
Arunachal Pradesh,2022,11,1904906.5,1903666.07,1131.49,108.94,8148660
Arunachal Pradesh,2022,12,2255187.93,2251078.97,3332.34,776.62,8148660
Arunachal Pradesh,2023,1,2822332.73,2819139.74,2870.32,322.67,8224816
Arunachal Pradesh,2023,2,2565281.56,2563239.22,1574.77,467.58,8224816
Arunachal Pradesh,2023,3,3399508.84,3398324.28,1081.65,102.91,8224816
Arunachal Pradesh,2023,4,2869392.39,2865851.03,3345.68,195.68,8224816
Arunachal Pradesh,2023,5,3018435.7,3016311.12,1678.83,445.75,8224816
Arunachal Pradesh,2023,6,3088924.87,3086555.2,1884.83,484.83,8224816
Arunachal Pradesh,2023,7,1766716.37,1764233.64,2321.96,160.77,8224816
Arunachal Pradesh,2023,8,2470008.13,2467879.71,1728.75,399.67,8224816
Arunachal Pradesh,2023,9,1571162.52,1568865.33,2033.47,263.72,8224816
Arunachal Pradesh,2023,10,2189685.57,2185755.55,3264.23,665.79,8224816
Arunachal Pradesh,2023,11,1770055.49,1768770.66,1000.05,284.78,8224816
Arunachal Pradesh,2023,12,2602300.48,2597841.92,3919.0,539.56,8224816
Arunachal Pradesh,2024,1,2793987.02,2790770.72,2535.68,680.62,8300972
Arunachal Pradesh,2024,2,3325902.07,3322657.51,2810.5,434.06,8300972
Arunachal Pradesh,2024,3,2615784.23,2612693.22,2714.62,376.4,8300972
Arunachal Pradesh,2024,4,2447612.25,2445777.53,1655.28,179.44,8300972
Arunachal Pradesh,2024,5,2020952.04,2019821.68,986.28,144.08,8300972
Arunachal Pradesh,2024,6,2871882.02,2869882.5,1553.04,446.48,8300972
Arunachal Pradesh,2024,7,2818965.33,2817273.96,1315.03,376.34,8300972
Arunachal Pradesh,2024,8,2200513.85,2197815.81,2471.28,226.76,8300972
Arunachal Pradesh,2024,9,2699755.28,2697860.69,1576.29,318.31,8300972
Arunachal Pradesh,2024,10,2074658.53,2072870.73,1633.99,153.81,8300972
Arunachal Pradesh,2024,11,1771536.96,1770133.17,1318.77,85.01,8300972
Arunachal Pradesh,2024,12,2844603.03,2839859.41,3700.36,1043.27,8300972
Arunachal Pradesh,2025,1,3136346.45,3134313.4,1660.98,372.07,8377128
Arunachal Pradesh,2025,2,2110318.65,2107110.34,2900.54,307.78,8377128
Arunachal Pradesh,2025,3,2328057.58,2325033.01,2819.14,205.44,8377128
Arunachal Pradesh,2025,4,3418071.18,3415885.67,2019.18,166.34,8377128
Arunachal Pradesh,2025,5,3378372.11,3373999.49,3602.4,770.23,8377128
Arunachal Pradesh,2025,6,2704336.26,2702910.64,1237.39,188.22,8377128
Arunachal Pradesh,2025,7,2267332.64,2265578.26,1639.21,115.17,8377128
Arunachal Pradesh,2025,8,1902294.12,1898703.26,3358.98,231.88,8377128
Arunachal Pradesh,2025,9,2556295.28,2552583.71,2954.67,756.9,8377128
Arunachal Pradesh,2025,10,1899283.43,1896215.76,2574.78,492.9,8377128
Arunachal Pradesh,2025,11,1847347.51,1842913.06,3512.04,922.42,8377128
Arunachal Pradesh,2025,12,2738468.16,2734430.23,3206.6,831.32,8377128
Assam,2015,1,1921031.16,1918113.98,2677.17,240.01,5909552
Assam,2015,2,2259252.28,2256154.74,2929.64,167.9,5909552
Assam,2015,3,2311468.29,2310116.03,1240.39,111.87,5909552
Assam,2015,4,2345104.55,2342312.08,2372.8,419.67,5909552
Assam,2015,5,1399964.08,1398195.26,1464.31,304.51,5909552
Assam,2015,6,1601187.42,1598572.08,2207.04,408.29,5909552
Assam,2015,7,2000622.53,1999246.15,1066.34,310.04,5909552
Assam,2015,8,1453628.94,1450284.58,2606.66,737.7,5909552
Assam,2015,9,1162121.3,1159073.49,2708.58,339.23,5909552
Assam,2015,10,1640515.28,1639355.3,970.25,189.73,5909552
Assam,2015,11,1370144.35,1367639.51,2020.74,484.1,5909552
Assam,2015,12,1162223.18,1161219.97,887.09,116.12,5909552
Assam,2016,1,1732214.56,1729558.06,2375.25,281.25,5968647
Assam,2016,2,2405562.24,2403036.02,2172.44,353.77,5968647
Assam,2016,3,1591354.61,1588912.6,2280.98,161.03,5968647
Assam,2016,4,2211245.62,2208473.39,2478.93,293.29,5968647
Assam,2016,5,2475207.75,2473769.76,1245.09,192.9,5968647
Assam,2016,6,2021444.92,2019556.94,1687.87,200.1,5968647
Assam,2016,7,2224162.48,2222304.19,1684.33,173.95,5968647
Assam,2016,8,1181568.75,1178856.66,2374.59,337.5,5968647
Assam,2016,9,1832511.57,1830081.89,1955.11,474.57,5968647
Assam,2016,10,1774473.48,1771261.55,2662.06,549.86,5968647
Assam,2016,11,1196672.57,1195535.92,909.95,226.7,5968647
Assam,2016,12,1594555.11,1593288.85,1171.06,95.2,5968647
Assam,2017,1,1946442.23,1944515.03,1807.79,119.41,6027743
Assam,2017,2,1979973.25,1978475.31,1198.94,299.0,6027743
Assam,2017,3,1773337.26,1771211.03,1771.85,354.38,6027743
Assam,2017,4,1783282.45,1781109.63,1717.61,455.22,6027743
Assam,2017,5,2305047.03,2304141.31,815.59,90.13,6027743
Assam,2017,6,2416882.48,2415529.91,1151.4,201.17,6027743
Assam,2017,7,1879480.88,1876793.79,2374.56,312.53,6027743
Assam,2017,8,1643872.9,1642693.86,1036.37,142.66,6027743
Assam,2017,9,1122733.69,1121672.7,890.18,170.81,6027743
Assam,2017,10,1658999.21,1656167.83,2573.89,257.49,6027743
Assam,2017,11,1240372.56,1239048.99,1251.14,72.44,6027743
Assam,2017,12,2032849.07,2031596.87,1056.42,195.78,6027743
Assam,2018,1,1991032.56,1987414.19,3188.38,429.99,6086838
Assam,2018,2,2253231.26,2251812.73,1113.7,304.83,6086838
Assam,2018,3,2064567.29,2060502.87,3439.76,624.66,6086838
Assam,2018,4,2312824.12,2311809.64,952.49,62.0,6086838
Assam,2018,5,1717583.11,1716065.08,1173.16,344.87,6086838
Assam,2018,6,1732271.22,1730602.81,1337.48,330.93,6086838
Assam,2018,7,1939019.02,1936332.68,2426.43,259.9,6086838
Assam,2018,8,2111914.81,2107931.92,3284.64,698.25,6086838
Assam,2018,9,1282484.58,1279495.43,2359.11,630.04,6086838
Assam,2018,10,1707303.16,1704917.1,2063.4,322.66,6086838
Assam,2018,11,1410754.84,1408714.54,1759.41,280.9,6086838
Assam,2018,12,1856388.37,1853557.32,2232.07,598.99,6086838
Assam,2019,1,2205583.6,2203011.98,2012.08,559.54,6145934
Assam,2019,2,1610698.96,1608403.09,1900.73,395.14,6145934
Assam,2019,3,2296591.36,2295226.7,1246.36,118.31,6145934
Assam,2019,4,1755865.28,1752282.45,3271.26,311.57,6145934
Assam,2019,5,2438101.06,2435585.26,2166.31,349.48,6145934
Assam,2019,6,1945288.98,1943322.49,1641.15,325.34,6145934
Assam,2019,7,1449787.31,1447904.09,1514.61,368.61,6145934
Assam,2019,8,1312574.89,1308375.27,3609.64,589.99,6145934
Assam,2019,9,1325644.73,1324455.81,1048.2,140.72,6145934
Assam,2019,10,1811806.0,1810029.68,1597.15,179.17,6145934
Assam,2019,11,1666690.8,1664109.72,2436.9,144.19,6145934
Assam,2019,12,1884845.63,1882112.28,2338.89,394.47,6145934
Assam,2020,1,2169233.78,2165731.6,3179.57,322.6,6205029
Assam,2020,2,1515771.04,1514092.99,1576.72,101.34,6205029
Assam,2020,3,2085187.25,2081322.3,3423.22,441.73,6205029
Assam,2020,4,2090930.36,2089874.68,971.11,84.57,6205029
Assam,2020,5,2617687.97,2613534.58,3569.17,584.22,6205029
Assam,2020,6,1965488.43,1962873.97,2148.79,465.68,6205029
Assam,2020,7,1438325.49,1437137.86,1079.21,108.42,6205029
Assam,2020,8,1843004.26,1839972.26,2824.47,207.53,6205029
Assam,2020,9,1732347.91,1730012.7,1909.17,426.04,6205029
Assam,2020,10,1839515.0,1835549.1,3248.57,717.32,6205029
Assam,2020,11,1574730.73,1572158.12,2432.51,140.1,6205029
Assam,2020,12,2089813.44,2086314.56,2869.99,628.9,6205029
Assam,2021,1,1533439.74,1530195.42,3013.34,230.97,6264125
Assam,2021,2,2144293.84,2141217.55,2896.55,179.74,6264125
Assam,2021,3,2629620.69,2627270.75,1971.84,378.11,6264125
Assam,2021,4,2391081.1,2387379.81,3215.63,485.67,6264125
Assam,2021,5,1863738.75,1860336.35,2723.11,679.29,6264125
Assam,2021,6,1895176.68,1891767.94,3156.09,252.65,6264125
Assam,2021,7,1874392.3,1873484.04,790.45,117.81,6264125
Assam,2021,8,1880556.97,1878775.21,1533.13,248.63,6264125
Assam,2021,9,1353901.7,1351282.96,2173.46,445.28,6264125
Assam,2021,10,1523184.71,1520584.99,2053.77,545.96,6264125
Assam,2021,11,1609099.28,1607031.36,1730.42,337.51,6264125
Assam,2021,12,1724844.03,1722459.38,1921.21,463.44,6264125
Assam,2022,1,2177407.33,2174119.0,2960.13,328.19,6323220
Assam,2022,2,2467795.72,2466385.0,1099.02,311.69,6323220
Assam,2022,3,1908209.28,1907167.21,929.41,112.66,6323220
Assam,2022,4,1890784.32,1887358.54,2891.46,534.31,6323220
Assam,2022,5,1861644.07,1859161.26,2152.63,330.19,6323220
Assam,2022,6,1556079.49,1554223.97,1520.57,334.95,6323220
Assam,2022,7,1511015.08,1508550.08,2068.25,396.75,6323220
Assam,2022,8,1472687.42,1468642.37,3454.69,590.36,6323220
Assam,2022,9,1888276.19,1885280.12,2326.41,669.66,6323220
Assam,2022,10,1662230.91,1658654.59,2813.66,762.65,6323220
Assam,2022,11,1356865.35,1355352.39,1200.8,312.17,6323220
Assam,2022,12,2098320.32,2095906.72,2175.95,237.65,6323220
Assam,2023,1,2161821.81,2159909.3,1571.64,340.87,6382316
Assam,2023,2,1541986.89,1538617.36,2897.42,472.11,6382316
Assam,2023,3,2209032.8,2207420.74,1459.96,152.11,6382316
Assam,2023,4,1647437.79,1646182.02,1037.4,218.37,6382316
