household_id,state,year,daily_water_liters_per_person,diet_profile,laundry_per_week,showers_per_week,bottled_water_per_week
39,Arunachal Pradesh,2018,183,Vegetarian,2,2,2
40,Arunachal Pradesh,2018,164,Vegetarian,4,5,1
41,Arunachal Pradesh,2018,219,Mixed,1,8,1
42,Arunachal Pradesh,2018,149,Vegetarian,2,4,0
43,Arunachal Pradesh,2018,179,Mixed,2,8,0
44,Arunachal Pradesh,2018,237,Mixed,1,7,2
45,Arunachal Pradesh,2018,88,Vegetarian,2,8,1
46,Arunachal Pradesh,2018,168,Mixed,2,7,1
47,Arunachal Pradesh,2018,238,Mixed,1,6,3
48,Arunachal Pradesh,2018,151,Mixed,2,7,3
49,Arunachal Pradesh,2018,169,High Meat,3,5,0
50,Arunachal Pradesh,2018,152,Vegetarian,4,9,1
51,Arunachal Pradesh,2018,183,Mixed,2,10,1
52,Arunachal Pradesh,2018,175,Mixed,3,7,2
53,Arunachal Pradesh,2018,148,Vegetarian,3,5,1
54,Arunachal Pradesh,2018,186,Mixed,1,5,1
55,Arunachal Pradesh,2018,186,High Dairy,3,5,3
56,Arunachal Pradesh,2018,152,Mixed,2,4,1
57,Arunachal Pradesh,2018,175,Mixed,2,4,0
58,Arunachal Pradesh,2018,235,Vegetarian,2,7,1
59,Arunachal Pradesh,2018,186,Vegetarian,2,9,0
60,Arunachal Pradesh,2018,140,Vegetarian,2,4,2
61,Assam,2018,190,Mixed,3,11,1
62,Assam,2018,193,Mixed,2,9,3
63,Assam,2018,124,Mixed,2,8,0
64,Assam,2018,222,Mixed,1,5,0
65,Assam,2018,200,Mixed,2,9,0
66,Assam,2018,218,Vegetarian,0,11,2
67,Assam,2018,158,Mixed,5,10,1
68,Assam,2018,253,Mixed,0,10,0
69,Assam,2018,165,Mixed,1,9,1
70,Assam,2018,222,Vegetarian,2,6,0
71,Assam,2018,207,Mixed,2,7,1
72,Assam,2018,245,Vegetarian,0,12,1
73,Assam,2018,247,High Dairy,1,5,0
74,Assam,2018,240,Vegetarian,2,7,0
75,Assam,2018,137,Mixed,3,4,1
76,Assam,2018,158,Mixed,1,8,0
77,Assam,2018,245,Vegetarian,3,8,0
78,Assam,2018,159,Vegetarian,2,7,0
79,Assam,2018,172,Vegetarian,1,9,1
80,Assam,2018,234,Vegetarian,3,6,0
81,Assam,2018,227,High Dairy,2,11,1
82,Assam,2018,175,Vegetarian,2,4,0
83,Assam,2018,213,Vegetarian,2,6,5
84,Assam,2018,199,Mixed,5,9,1
85,Assam,2018,206,High Dairy,2,7,1
86,Assam,2018,177,Mixed,0,3,2
87,Assam,2018,261,Mixed,1,7,3
88,Assam,2018,166,Mixed,0,3,0
89,Assam,2018,201,High Meat,2,4,1
90,Assam,2018,176,Vegetarian,2,4,2
91,Bihar,2018,182,Mixed,1,7,0
92,Bihar,2018,130,Mixed,2,4,0
93,Bihar,2018,209,Vegetarian,1,3,2
94,Bihar,2018,195,Mixed,0,8,1
95,Bihar,2018,196,High Meat,2,5,1
96,Bihar,2018,132,Mixed,0,6,2
97,Bihar,2018,267,Mixed,2,6,2
98,Bihar,2018,184,Vegetarian,4,8,1
99,Bihar,2018,221,Mixed,2,7,1
100,Bihar,2018,246,High Dairy,0,3,2
101,Bihar,2018,162,Mixed,1,13,0
102,Bihar,2018,184,Vegetarian,1,5,3
103,Bihar,2018,106,High Dairy,1,2,2
104,Bihar,2018,185,Vegetarian,1,7,1
105,Bihar,2018,187,Vegetarian,2,8,1
106,Bihar,2018,202,Vegetarian,2,7,0
107,Bihar,2018,142,Mixed,1,2,0
108,Bihar,2018,162,Mixed,3,5,0
109,Bihar,2018,198,Mixed,4,5,1
110,Bihar,2018,194,Mixed,2,10,0
111,Bihar,2018,191,Mixed,3,12,1
112,Bihar,2018,223,Vegetarian,2,6,1
113,Bihar,2018,178,High Meat,3,8,0
114,Bihar,2018,195,Mixed,4,7,0
115,Bihar,2018,164,Vegetarian,2,8,0
116,Bihar,2018,208,Vegetarian,1,12,1
117,Bihar,2018,87,High Meat,0,13,0
118,Bihar,2018,219,Vegetarian,1,6,2
119,Bihar,2018,140,Vegetarian,1,9,3
120,Bihar,2018,256,Mixed,3,6,1
121,Chhattisgarh,2018,149,Mixed,5,11,2
122,Chhattisgarh,2018,185,High Dairy,1,6,1
123,Chhattisgarh,2018,175,Mixed,0,4,2
124,Chhattisgarh,2018,176,Vegetarian,0,12,0
125,Chhattisgarh,2018,158,High Dairy,0,7,2
126,Chhattisgarh,2018,203,Mixed,5,5,0
127,Chhattisgarh,2018,187,Vegetarian,2,8,1
128,Chhattisgarh,2018,243,High Meat,3,4,0
129,Chhattisgarh,2018,187,Vegetarian,2,7,0
130,Chhattisgarh,2018,188,High Meat,2,3,1
131,Chhattisgarh,2018,196,Vegetarian,2,8,0
132,Chhattisgarh,2018,173,Mixed,0,4,0
133,Chhattisgarh,2018,172,Vegetarian,0,5,2
134,Chhattisgarh,2018,175,Mixed,1,9,2
135,Chhattisgarh,2018,145,Mixed,3,8,2
136,Chhattisgarh,2018,158,High Meat,1,5,2
137,Chhattisgarh,2018,160,Mixed,2,12,1
138,Chhattisgarh,2018,193,High Meat,1,7,2
139,Chhattisgarh,2018,135,High Meat,2,4,0
140,Chhattisgarh,2018,126,Mixed,1,6,1
141,Chhattisgarh,2018,142,Mixed,2,7,0
142,Chhattisgarh,2018,168,Mixed,1,4,1
143,Chhattisgarh,2018,154,High Dairy,1,11,0
144,Chhattisgarh,2018,265,Mixed,2,8,0
145,Chhattisgarh,2018,183,High Dairy,2,2,0
146,Chhattisgarh,2018,191,Mixed,1,9,2
147,Chhattisgarh,2018,233,Mixed,0,4,0
148,Chhattisgarh,2018,193,Mixed,1,7,0
149,Chhattisgarh,2018,165,Mixed,0,11,2
150,Chhattisgarh,2018,241,Vegetarian,0,3,1
151,Delhi,2018,203,Vegetarian,1,4,0
152,Delhi,2018,140,Mixed,0,7,1
153,Delhi,2018,171,High Dairy,5,6,0
154,Delhi,2018,195,Vegetarian,2,5,2
155,Delhi,2018,200,High Meat,5,7,1
156,Delhi,2018,183,Vegetarian,2,12,2
157,Delhi,2018,217,Vegetarian,2,6,0
158,Delhi,2018,192,Vegetarian,1,9,2
159,Delhi,2018,304,Vegetarian,2,9,1
160,Delhi,2018,202,Vegetarian,4,8,0
161,Delhi,2018,214,Mixed,1,7,0
162,Delhi,2018,165,Mixed,2,7,3
163,Delhi,2018,166,Mixed,2,9,1
164,Delhi,2018,229,Mixed,1,6,3
165,Delhi,2018,142,Vegetarian,1,8,2
166,Delhi,2018,124,Mixed,3,9,0
167,Delhi,2018,146,Vegetarian,6,6,0
168,Delhi,2018,169,High Meat,2,15,0
169,Delhi,2018,200,Mixed,1,9,0
170,Delhi,2018,124,Mixed,5,3,2
171,Delhi,2018,213,Mixed,0,6,2
172,Delhi,2018,121,High Dairy,1,7,2
173,Delhi,2018,170,High Dairy,2,8,2
174,Delhi,2018,147,Mixed,2,7,1
175,Delhi,2018,188,Mixed,0,7,1
176,Delhi,2018,177,Vegetarian,2,2,0
177,Delhi,2018,253,Mixed,2,8,0
178,Delhi,2018,166,Mixed,2,9,3
179,Delhi,2018,249,Mixed,1,7,2
180,Delhi,2018,179,Mixed,1,3,2
181,Goa,2018,245,Mixed,2,8,2
182,Goa,2018,175,Mixed,0,8,3
183,Goa,2018,135,High Meat,1,9,2
184,Goa,2018,190,Vegetarian,2,6,0
185,Goa,2018,185,Mixed,1,6,4
186,Goa,2018,146,Vegetarian,1,4,2
187,Goa,2018,103,Mixed,0,8,1
188,Goa,2018,137,Mixed,3,8,1
189,Goa,2018,192,Vegetarian,1,11,1
190,Goa,2018,178,Vegetarian,1,7,1
191,Goa,2018,183,Vegetarian,2,3,0
192,Goa,2018,234,Mixed,5,2,1
193,Goa,2018,124,Vegetarian,1,8,0
194,Goa,2018,156,Mixed,1,8,0
195,Goa,2018,200,Vegetarian,4,5,2
196,Goa,2018,192,High Dairy,1,8,1
197,Goa,2018,118,High Dairy,5,9,1
198,Goa,2018,145,Mixed,0,3,1
199,Goa,2018,173,Mixed,1,4,0
200,Goa,2018,241,Vegetarian,2,8,2
201,Goa,2018,182,Vegetarian,0,12,0
202,Goa,2018,200,High Meat,5,6,2
203,Goa,2018,145,Vegetarian,5,9,1
204,Goa,2018,240,High Meat,1,7,0
205,Goa,2018,180,Mixed,2,8,0
206,Goa,2018,158,High Meat,1,5,2
207,Goa,2018,152,Mixed,3,4,1
208,Goa,2018,210,High Dairy,6,6,1
209,Goa,2018,225,Vegetarian,1,7,3
210,Goa,2018,120,High Dairy,2,9,1
211,Gujarat,2018,181,Mixed,1,8,2
212,Gujarat,2018,150,High Dairy,1,8,3
213,Gujarat,2018,185,Vegetarian,1,8,1
214,Gujarat,2018,212,High Dairy,2,14,1
215,Gujarat,2018,181,Vegetarian,5,6,3
216,Gujarat,2018,236,High Dairy,2,7,0
217,Gujarat,2018,173,Mixed,1,2,1
218,Gujarat,2018,182,Vegetarian,3,5,2
219,Gujarat,2018,120,Mixed,2,7,1
220,Gujarat,2018,40,Mixed,5,10,1
221,Gujarat,2018,149,Vegetarian,2,6,0
222,Gujarat,2018,193,Mixed,2,5,0
223,Gujarat,2018,153,Mixed,2,6,0
224,Gujarat,2018,169,Vegetarian,3,4,2
225,Gujarat,2018,204,Mixed,1,7,3
226,Gujarat,2018,182,Mixed,2,9,0
227,Gujarat,2018,117,Vegetarian,4,12,0
228,Gujarat,2018,135,Vegetarian,1,6,2
229,Gujarat,2018,195,Vegetarian,1,5,0
230,Gujarat,2018,160,Vegetarian,1,11,2
231,Gujarat,2018,151,High Dairy,2,5,2
232,Gujarat,2018,222,Vegetarian,4,13,0
233,Gujarat,2018,179,Vegetarian,4,6,2
234,Gujarat,2018,195,High Meat,0,3,2
235,Gujarat,2018,155,High Dairy,1,2,1
236,Gujarat,2018,216,Vegetarian,2,7,1
237,Gujarat,2018,145,Vegetarian,2,7,3
238,Gujarat,2018,224,Mixed,3,10,1
239,Gujarat,2018,204,Mixed,0,5,0
240,Gujarat,2018,127,High Dairy,1,10,0
241,Haryana,2018,176,Mixed,3,7,1
242,Haryana,2018,182,High Dairy,1,9,0
243,Haryana,2018,133,Mixed,1,4,2
244,Haryana,2018,242,Vegetarian,4,13,2
245,Haryana,2018,185,Mixed,4,5,3
246,Haryana,2018,184,Mixed,2,3,0
247,Haryana,2018,122,Mixed,3,7,1
248,Haryana,2018,174,High Dairy,3,6,0
249,Haryana,2018,248,Mixed,2,5,0
250,Haryana,2018,153,Vegetarian,0,9,2
251,Haryana,2018,199,Vegetarian,1,3,1
252,Haryana,2018,174,Mixed,2,7,1
253,Haryana,2018,182,High Dairy,0,5,1
254,Haryana,2018,141,Mixed,1,4,1
255,Haryana,2018,172,Vegetarian,2,10,2
256,Haryana,2018,219,High Meat,1,6,0
257,Haryana,2018,150,Vegetarian,6,6,0
258,Haryana,2018,244,High Dairy,1,7,2
259,Haryana,2018,190,Vegetarian,1,9,1
260,Haryana,2018,251,High Meat,2,7,0
261,Haryana,2018,218,Mixed,4,10,0
262,Haryana,2018,158,Mixed,2,4,3
263,Haryana,2018,187,Vegetarian,2,7,1
264,Haryana,2018,184,High Meat,3,3,1
265,Haryana,2018,181,Vegetarian,3,9,0
266,Haryana,2018,161,Vegetarian,2,10,0
267,Haryana,2018,127,Vegetarian,1,5,3
268,Haryana,2018,171,Vegetarian,0,13,0
269,Haryana,2018,102,Mixed,2,10,1
270,Haryana,2018,215,Mixed,5,5,3
271,Himachal Pradesh,2018,201,High Dairy,3,8,0
272,Himachal Pradesh,2018,220,Vegetarian,3,6,2
273,Himachal Pradesh,2018,173,High Dairy,0,2,1
274,Himachal Pradesh,2018,226,Mixed,0,10,1
275,Himachal Pradesh,2018,145,High Meat,4,6,2
276,Himachal Pradesh,2018,249,Vegetarian,2,3,0
277,Himachal Pradesh,2018,146,Vegetarian,3,9,2
278,Himachal Pradesh,2018,194,Mixed,6,6,0
279,Himachal Pradesh,2018,171,Mixed,1,8,1
280,Himachal Pradesh,2018,176,High Meat,1,4,0
281,Himachal Pradesh,2018,163,Mixed,0,9,0
282,Himachal Pradesh,2018,170,Mixed,2,10,2
283,Himachal Pradesh,2018,150,High Meat,0,4,2
284,Himachal Pradesh,2018,227,Mixed,3,7,1
285,Himachal Pradesh,2018,111,High Meat,0,9,0
286,Himachal Pradesh,2018,122,Vegetarian,2,9,0
287,Himachal Pradesh,2018,182,Mixed,2,5,0
288,Himachal Pradesh,2018,279,Vegetarian,4,7,2
289,Himachal Pradesh,2018,154,Vegetarian,2,6,1
290,Himachal Pradesh,2018,197,Mixed,2,4,0
291,Himachal Pradesh,2018,194,Mixed,0,3,3
292,Himachal Pradesh,2018,174,Mixed,1,5,3
293,Himachal Pradesh,2018,240,Mixed,3,6,1
294,Himachal Pradesh,2018,147,Mixed,2,15,1
295,Himachal Pradesh,2018,147,Mixed,2,7,0
296,Himachal Pradesh,2018,226,Vegetarian,1,10,1
297,Himachal Pradesh,2018,209,Vegetarian,3,9,1
298,Himachal Pradesh,2018,139,Vegetarian,1,11,2
299,Himachal Pradesh,2018,234,Mixed,2,12,0
300,Himachal Pradesh,2018,194,Mixed,3,5,0
301,Jammu & Kashmir,2018,224,Mixed,2,5,1
302,Jammu & Kashmir,2018,158,Vegetarian,3,4,1
303,Jammu & Kashmir,2018,175,Vegetarian,3,5,1
304,Jammu & Kashmir,2018,230,Vegetarian,3,3,1
305,Jammu & Kashmir,2018,165,High Meat,1,5,0
306,Jammu & Kashmir,2018,186,Mixed,4,8,1
307,Jammu & Kashmir,2018,176,High Dairy,3,7,2
308,Jammu & Kashmir,2018,145,Mixed,2,5,1
309,Jammu & Kashmir,2018,167,Vegetarian,0,5,0
310,Jammu & Kashmir,2018,157,Vegetarian,2,9,1
311,Jammu & Kashmir,2018,187,High Dairy,1,8,2
312,Jammu & Kashmir,2018,174,Mixed,1,10,0
313,Jammu & Kashmir,2018,155,Vegetarian,2,4,3
314,Jammu & Kashmir,2018,200,Vegetarian,4,7,2
315,Jammu & Kashmir,2018,131,Vegetarian,3,6,1
316,Jammu & Kashmir,2018,225,Vegetarian,4,5,1
317,Jammu & Kashmir,2018,209,High Dairy,3,8,2
318,Jammu & Kashmir,2018,174,Mixed,1,5,0
319,Jammu & Kashmir,2018,186,Mixed,0,5,0
320,Jammu & Kashmir,2018,279,Vegetarian,5,7,1
321,Jammu & Kashmir,2018,173,Mixed,5,9,5
322,Jammu & Kashmir,2018,201,Vegetarian,6,10,0
323,Jammu & Kashmir,2018,195,Mixed,2,5,0
324,Jammu & Kashmir,2018,185,Mixed,1,6,0
325,Jammu & Kashmir,2018,180,Vegetarian,1,9,1
326,Jammu & Kashmir,2018,180,Mixed,2,7,1
327,Jammu & Kashmir,2018,150,High Dairy,4,7,1
328,Jammu & Kashmir,2018,133,High Dairy,0,7,0
329,Jammu & Kashmir,2018,137,Mixed,2,8,2
330,Jammu & Kashmir,2018,206,Mixed,2,9,0
331,Jharkhand,2018,144,Vegetarian,3,10,3
332,Jharkhand,2018,236,Mixed,4,9,3
333,Jharkhand,2018,216,Mixed,6,9,1
334,Jharkhand,2018,209,Vegetarian,3,7,0
335,Jharkhand,2018,145,Vegetarian,2,8,2
336,Jharkhand,2018,253,Mixed,3,8,1
337,Jharkhand,2018,218,Mixed,3,3,3
338,Jharkhand,2018,224,Mixed,2,7,0
339,Jharkhand,2018,296,Mixed,3,7,0
340,Jharkhand,2018,131,Mixed,1,5,0
341,Jharkhand,2018,270,Mixed,3,2,1
342,Jharkhand,2018,203,Mixed,1,6,1
343,Jharkhand,2018,183,Vegetarian,3,6,1
344,Jharkhand,2018,215,Mixed,4,3,2
345,Jharkhand,2018,215,Mixed,2,1,0
346,Jharkhand,2018,209,High Dairy,1,5,0
347,Jharkhand,2018,101,High Dairy,2,6,2
348,Jharkhand,2018,215,Vegetarian,2,2,0
349,Jharkhand,2018,151,Mixed,3,6,1
350,Jharkhand,2018,160,Vegetarian,3,3,4
351,Jharkhand,2018,256,Mixed,3,5,2
352,Jharkhand,2018,198,Mixed,1,7,1
353,Jharkhand,2018,156,Vegetarian,0,7,0
354,Jharkhand,2018,203,Mixed,3,8,1
355,Jharkhand,2018,174,Vegetarian,7,8,0
356,Jharkhand,2018,156,High Dairy,4,5,0
357,Jharkhand,2018,183,Mixed,3,6,0
358,Jharkhand,2018,219,Mixed,3,10,1
359,Jharkhand,2018,213,Mixed,0,6,1
360,Jharkhand,2018,178,Mixed,1,6,0
361,Karnataka,2018,187,Mixed,2,7,0
362,Karnataka,2018,177,High Dairy,3,5,2
363,Karnataka,2018,233,Mixed,1,6,0
364,Karnataka,2018,214,Vegetarian,2,7,0
365,Karnataka,2018,181,High Dairy,3,12,1
366,Karnataka,2018,98,High Dairy,3,10,1
367,Karnataka,2018,172,High Meat,0,6,0
368,Karnataka,2018,174,Vegetarian,2,5,0
369,Karnataka,2018,210,Mixed,0,3,1
370,Karnataka,2018,172,Mixed,1,6,1
371,Karnataka,2018,205,Mixed,3,5,1
372,Karnataka,2018,229,Mixed,2,10,2
373,Karnataka,2018,146,High Dairy,0,5,1
374,Karnataka,2018,141,Mixed,2,6,1
375,Karnataka,2018,214,Mixed,3,4,1
376,Karnataka,2018,191,Mixed,3,7,2
377,Karnataka,2018,184,Mixed,1,9,1
378,Karnataka,2018,141,High Meat,1,8,0
379,Karnataka,2018,153,Vegetarian,3,3,0
380,Karnataka,2018,145,High Meat,3,5,2
381,Karnataka,2018,219,Mixed,1,9,3
382,Karnataka,2018,235,Mixed,2,9,0
383,Karnataka,2018,140,Vegetarian,3,12,1
384,Karnataka,2018,189,Mixed,1,10,1
385,Karnataka,2018,177,Vegetarian,3,1,0
386,Karnataka,2018,136,Mixed,0,6,0
387,Karnataka,2018,199,High Dairy,2,7,1
388,Karnataka,2018,142,Mixed,2,5,1
389,Karnataka,2018,184,Vegetarian,1,6,1
390,Karnataka,2018,279,Vegetarian,2,5,0
391,Kerala,2018,176,Mixed,1,7,1
392,Kerala,2018,250,High Meat,5,8,1
393,Kerala,2018,160,Vegetarian,2,2,0
394,Kerala,2018,193,Mixed,2,5,4
395,Kerala,2018,175,Vegetarian,2,7,2
396,Kerala,2018,186,Vegetarian,2,7,0
397,Kerala,2018,184,Mixed,1,11,0
398,Kerala,2018,152,Mixed,4,7,2
399,Kerala,2018,160,Mixed,0,11,0
400,Kerala,2018,219,Vegetarian,2,8,0
401,Kerala,2018,225,Mixed,3,5,4
402,Kerala,2018,119,Vegetarian,2,2,2
403,Kerala,2018,144,Mixed,4,15,2
404,Kerala,2018,137,Mixed,1,10,0
405,Kerala,2018,212,Vegetarian,2,4,0
406,Kerala,2018,145,Mixed,0,10,0
407,Kerala,2018,201,High Dairy,5,10,2
408,Kerala,2018,249,Vegetarian,2,9,1
409,Kerala,2018,180,Mixed,2,10,3
410,Kerala,2018,129,High Meat,3,8,1
411,Kerala,2018,195,Vegetarian,2,6,0
412,Kerala,2018,177,Vegetarian,1,3,3
413,Kerala,2018,140,High Meat,1,9,0
414,Kerala,2018,199,Vegetarian,3,6,0
415,Kerala,2018,154,Mixed,2,8,0
416,Kerala,2018,183,High Dairy,2,8,0
417,Kerala,2018,177,Vegetarian,4,7,2
418,Kerala,2018,170,Vegetarian,1,7,1
419,Kerala,2018,116,Vegetarian,1,8,0
420,Kerala,2018,121,Mixed,2,4,0
421,Madhya Pradesh,2018,116,High Meat,1,5,0
422,Madhya Pradesh,2018,182,Mixed,2,9,2
423,Madhya Pradesh,2018,181,Mixed,3,6,1
424,Madhya Pradesh,2018,222,Mixed,0,6,1
425,Madhya Pradesh,2018,220,Mixed,4,6,3
426,Madhya Pradesh,2018,220,Mixed,3,7,1
427,Madhya Pradesh,2018,199,Mixed,1,6,2
428,Madhya Pradesh,2018,192,Mixed,1,3,0
429,Madhya Pradesh,2018,224,Vegetarian,2,5,1
430,Madhya Pradesh,2018,130,Mixed,3,2,0
431,Madhya Pradesh,2018,171,Vegetarian,2,6,0
432,Madhya Pradesh,2018,164,Mixed,2,9,0
433,Madhya Pradesh,2018,61,High Meat,1,9,0
434,Madhya Pradesh,2018,288,Mixed,1,4,2
435,Madhya Pradesh,2018,108,Mixed,4,7,0
436,Madhya Pradesh,2018,181,Mixed,1,8,1
437,Madhya Pradesh,2018,177,Mixed,1,11,1
438,Madhya Pradesh,2018,193,High Meat,4,8,0
439,Madhya Pradesh,2018,176,Vegetarian,1,10,0
440,Madhya Pradesh,2018,127,Vegetarian,0,9,2
441,Madhya Pradesh,2018,96,Vegetarian,4,9,2
442,Madhya Pradesh,2018,167,Vegetarian,1,6,3
443,Madhya Pradesh,2018,193,Vegetarian,0,9,2
444,Madhya Pradesh,2018,198,Mixed,3,8,0
445,Madhya Pradesh,2018,189,High Meat,2,11,1
446,Madhya Pradesh,2018,201,Vegetarian,2,7,1
447,Madhya Pradesh,2018,206,High Dairy,1,1,2
448,Madhya Pradesh,2018,241,Mixed,2,5,0
449,Madhya Pradesh,2018,167,Vegetarian,1,7,1
450,Madhya Pradesh,2018,176,High Meat,0,5,2
451,Maharashtra,2018,256,Mixed,2,7,1
452,Maharashtra,2018,167,Mixed,3,8,1
453,Maharashtra,2018,175,Mixed,1,10,0
454,Maharashtra,2018,215,Vegetarian,0,5,1
455,Maharashtra,2018,143,High Meat,2,3,0
456,Maharashtra,2018,208,Mixed,0,5,0
457,Maharashtra,2018,215,Vegetarian,1,9,0
458,Maharashtra,2018,179,High Dairy,3,6,5
459,Maharashtra,2018,221,Mixed,0,11,1
460,Maharashtra,2018,182,Mixed,1,10,0
461,Maharashtra,2018,144,Vegetarian,1,7,0
462,Maharashtra,2018,184,Vegetarian,4,9,1
463,Maharashtra,2018,67,Mixed,6,7,1
464,Maharashtra,2018,178,High Meat,3,8,2
465,Maharashtra,2018,221,Vegetarian,4,9,0
466,Maharashtra,2018,216,Mixed,3,14,1
467,Maharashtra,2018,226,High Meat,3,5,1
468,Maharashtra,2018,206,Mixed,2,8,1
469,Maharashtra,2018,148,High Meat,3,6,2
470,Maharashtra,2018,241,Mixed,0,8,1
471,Maharashtra,2018,177,Vegetarian,5,3,2
472,Maharashtra,2018,123,Mixed,1,5,2
473,Maharashtra,2018,133,Mixed,2,5,1
474,Maharashtra,2018,211,Mixed,2,7,1
475,Maharashtra,2018,214,Mixed,1,7,2
476,Maharashtra,2018,204,Vegetarian,1,6,2
477,Maharashtra,2018,141,High Meat,3,8,1
478,Maharashtra,2018,141,High Meat,0,11,2
479,Maharashtra,2018,290,High Meat,5,4,0
480,Maharashtra,2018,198,Vegetarian,3,8,1
481,Manipur,2018,206,Vegetarian,1,8,1
482,Manipur,2018,228,Vegetarian,3,4,2
483,Manipur,2018,205,High Meat,4,8,1
484,Manipur,2018,230,Vegetarian,0,8,1
485,Manipur,2018,182,Mixed,1,6,3
486,Manipur,2018,173,Mixed,1,6,0
487,Manipur,2018,224,High Dairy,2,3,2
488,Manipur,2018,190,High Dairy,3,9,1
489,Manipur,2018,178,Vegetarian,3,1,0
490,Manipur,2018,174,Mixed,3,6,1
491,Manipur,2018,190,Mixed,1,3,0
492,Manipur,2018,268,High Meat,1,2,0
493,Manipur,2018,220,High Meat,0,9,0
494,Manipur,2018,207,Vegetarian,2,11,0
495,Manipur,2018,177,Vegetarian,6,6,1
496,Manipur,2018,195,Vegetarian,2,8,0
497,Manipur,2018,261,Vegetarian,5,5,1
498,Manipur,2018,219,Mixed,1,13,2
499,Manipur,2018,146,Mixed,2,11,0
500,Manipur,2018,161,Vegetarian,2,7,1
501,Manipur,2018,163,Mixed,3,5,0
502,Manipur,2018,188,Mixed,1,2,2
503,Manipur,2018,233,Mixed,4,9,1
504,Manipur,2018,180,Vegetarian,2,3,0
505,Manipur,2018,161,Mixed,3,7,2
506,Manipur,2018,237,Vegetarian,2,7,1
507,Manipur,2018,204,Vegetarian,2,9,1
508,Manipur,2018,177,Mixed,2,9,0
509,Manipur,2018,230,Vegetarian,1,6,2
510,Manipur,2018,180,Vegetarian,2,9,0
511,Meghalaya,2018,175,Mixed,4,6,1
512,Meghalaya,2018,95,High Dairy,2,6,0
513,Meghalaya,2018,230,Mixed,4,3,0
514,Meghalaya,2018,159,High Meat,2,6,1
515,Meghalaya,2018,107,Vegetarian,4,4,0
516,Meghalaya,2018,247,Vegetarian,2,6,2
517,Meghalaya,2018,163,Vegetarian,2,4,2
518,Meghalaya,2018,213,Vegetarian,2,5,1
519,Meghalaya,2018,121,Vegetarian,4,9,2
520,Meghalaya,2018,180,Vegetarian,3,4,1
521,Meghalaya,2018,192,High Dairy,0,5,1
522,Meghalaya,2018,255,Vegetarian,1,8,1
523,Meghalaya,2018,186,Vegetarian,1,10,0
524,Meghalaya,2018,142,Mixed,0,4,2
525,Meghalaya,2018,204,Vegetarian,3,7,0
526,Meghalaya,2018,169,Mixed,7,5,0
527,Meghalaya,2018,199,High Dairy,2,11,1
528,Meghalaya,2018,201,Mixed,0,5,0
529,Meghalaya,2018,125,Mixed,1,1,1
530,Meghalaya,2018,202,Vegetarian,3,6,1
531,Meghalaya,2018,154,Mixed,0,6,0
532,Meghalaya,2018,151,Mixed,1,8,1
533,Meghalaya,2018,172,Vegetarian,1,5,2
534,Meghalaya,2018,184,Mixed,1,7,1
535,Meghalaya,2018,170,Mixed,0,8,2
536,Meghalaya,2018,190,Mixed,5,6,0
537,Meghalaya,2018,185,High Meat,3,9,0
