state,crop,year,water_m3_per_ton
Andhra Pradesh,Soybean,2010,873.7
Andhra Pradesh,Soybean,2011,1030.6
Andhra Pradesh,Soybean,2012,947.7
Andhra Pradesh,Soybean,2013,868.0
Andhra Pradesh,Soybean,2014,810.7
Andhra Pradesh,Soybean,2015,867.2
Andhra Pradesh,Soybean,2016,965.4
Andhra Pradesh,Soybean,2017,988.1
Andhra Pradesh,Soybean,2018,701.1
Andhra Pradesh,Soybean,2019,844.5
Andhra Pradesh,Soybean,2020,761.1
Andhra Pradesh,Soybean,2021,1132.1
Andhra Pradesh,Soybean,2022,914.5
Andhra Pradesh,Soybean,2023,836.5
Andhra Pradesh,Soybean,2024,761.1
Andhra Pradesh,Soybean,2025,1145.5
Andhra Pradesh,Potato,2010,375.6
Andhra Pradesh,Potato,2011,554.3
Andhra Pradesh,Potato,2012,576.1
Andhra Pradesh,Potato,2013,468.8
Andhra Pradesh,Potato,2014,554.4
Andhra Pradesh,Potato,2015,445.2
Andhra Pradesh,Potato,2016,604.6
Andhra Pradesh,Potato,2017,589.0
Andhra Pradesh,Potato,2018,475.2
Andhra Pradesh,Potato,2019,521.1
Andhra Pradesh,Potato,2020,465.0
Andhra Pradesh,Potato,2021,419.4
Andhra Pradesh,Potato,2022,499.0
Andhra Pradesh,Potato,2023,533.7
Andhra Pradesh,Potato,2024,489.1
Andhra Pradesh,Potato,2025,415.9
Andhra Pradesh,Tea,2010,5733.1
Andhra Pradesh,Tea,2011,7013.9
Andhra Pradesh,Tea,2012,6751.4
Andhra Pradesh,Tea,2013,6106.2
Andhra Pradesh,Tea,2014,6326.6
Andhra Pradesh,Tea,2015,5968.3
Andhra Pradesh,Tea,2016,5804.9
Andhra Pradesh,Tea,2017,4954.1
Andhra Pradesh,Tea,2018,6498.3
Andhra Pradesh,Tea,2019,5637.7
Andhra Pradesh,Tea,2020,5653.9
Andhra Pradesh,Tea,2021,5553.3
Andhra Pradesh,Tea,2022,5512.1
Andhra Pradesh,Tea,2023,5420.3
Andhra Pradesh,Tea,2024,6092.2
Andhra Pradesh,Tea,2025,5602.5
Andhra Pradesh,Groundnut,2010,1906.5
Andhra Pradesh,Groundnut,2011,2123.0
Andhra Pradesh,Groundnut,2012,2036.3
Andhra Pradesh,Groundnut,2013,2175.6
Andhra Pradesh,Groundnut,2014,2570.1
Andhra Pradesh,Groundnut,2015,2368.0
Andhra Pradesh,Groundnut,2016,2160.3
Andhra Pradesh,Groundnut,2017,2092.8
Andhra Pradesh,Groundnut,2018,1735.2
Andhra Pradesh,Groundnut,2019,1760.1
Andhra Pradesh,Groundnut,2020,2421.3
Andhra Pradesh,Groundnut,2021,2201.9
Andhra Pradesh,Groundnut,2022,2229.5
Andhra Pradesh,Groundnut,2023,2023.4
Andhra Pradesh,Groundnut,2024,1844.8
Andhra Pradesh,Groundnut,2025,1765.4
Arunachal Pradesh,Rice,2010,2432.3
Arunachal Pradesh,Rice,2011,2741.3
Arunachal Pradesh,Rice,2012,2337.1
Arunachal Pradesh,Rice,2013,2381.3
Arunachal Pradesh,Rice,2014,2358.9
Arunachal Pradesh,Rice,2015,3102.6
Arunachal Pradesh,Rice,2016,2881.7
Arunachal Pradesh,Rice,2017,2484.4
Arunachal Pradesh,Rice,2018,2795.9
Arunachal Pradesh,Rice,2019,2457.1
Arunachal Pradesh,Rice,2020,2475.5
Arunachal Pradesh,Rice,2021,2668.6
Arunachal Pradesh,Rice,2022,2095.5
Arunachal Pradesh,Rice,2023,2438.9
Arunachal Pradesh,Rice,2024,2455.5
Arunachal Pradesh,Rice,2025,2373.8
Arunachal Pradesh,Wheat,2010,1489.2
Arunachal Pradesh,Wheat,2011,1396.6
Arunachal Pradesh,Wheat,2012,1233.1
Arunachal Pradesh,Wheat,2013,1483.6
Arunachal Pradesh,Wheat,2014,1516.3
Arunachal Pradesh,Wheat,2015,1406.8
Arunachal Pradesh,Wheat,2016,1460.8
Arunachal Pradesh,Wheat,2017,1576.6
Arunachal Pradesh,Wheat,2018,1678.3
Arunachal Pradesh,Wheat,2019,1384.4
Arunachal Pradesh,Wheat,2020,1492.8
Arunachal Pradesh,Wheat,2021,1724.5
Arunachal Pradesh,Wheat,2022,1455.7
Arunachal Pradesh,Wheat,2023,1722.5
Arunachal Pradesh,Wheat,2024,1468.1
Arunachal Pradesh,Wheat,2025,1489.9
Arunachal Pradesh,Maize,2010,846.7
Arunachal Pradesh,Maize,2011,1032.9
Arunachal Pradesh,Maize,2012,887.4
Arunachal Pradesh,Maize,2013,971.5
Arunachal Pradesh,Maize,2014,819.4
Arunachal Pradesh,Maize,2015,783.2
Arunachal Pradesh,Maize,2016,746.6
Arunachal Pradesh,Maize,2017,951.5
Arunachal Pradesh,Maize,2018,724.7
Arunachal Pradesh,Maize,2019,969.2
Arunachal Pradesh,Maize,2020,776.0
Arunachal Pradesh,Maize,2021,751.8
Arunachal Pradesh,Maize,2022,742.3
Arunachal Pradesh,Maize,2023,878.0
Arunachal Pradesh,Maize,2024,974.4
Arunachal Pradesh,Maize,2025,869.3
Arunachal Pradesh,Sugarcane,2010,19336.5
Arunachal Pradesh,Sugarcane,2011,13749.1
Arunachal Pradesh,Sugarcane,2012,12941.2
Arunachal Pradesh,Sugarcane,2013,14669.7
Arunachal Pradesh,Sugarcane,2014,15988.8
Arunachal Pradesh,Sugarcane,2015,11418.5
Arunachal Pradesh,Sugarcane,2016,12978.3
Arunachal Pradesh,Sugarcane,2017,15024.2
Arunachal Pradesh,Sugarcane,2018,12692.5
Arunachal Pradesh,Sugarcane,2019,14877.4
Arunachal Pradesh,Sugarcane,2020,14718.9
Arunachal Pradesh,Sugarcane,2021,12214.0
Arunachal Pradesh,Sugarcane,2022,16936.2
Arunachal Pradesh,Sugarcane,2023,11758.5
Arunachal Pradesh,Sugarcane,2024,13675.0
Arunachal Pradesh,Sugarcane,2025,15298.7
Arunachal Pradesh,Cotton,2010,7884.3
Arunachal Pradesh,Cotton,2011,6096.0
Arunachal Pradesh,Cotton,2012,7926.2
Arunachal Pradesh,Cotton,2013,6329.6
Arunachal Pradesh,Cotton,2014,6628.1
Arunachal Pradesh,Cotton,2015,7400.7
Arunachal Pradesh,Cotton,2016,6935.4
Arunachal Pradesh,Cotton,2017,6130.3
Arunachal Pradesh,Cotton,2018,6731.1
Arunachal Pradesh,Cotton,2019,6389.9
Arunachal Pradesh,Cotton,2020,7743.1
Arunachal Pradesh,Cotton,2021,7799.0
Arunachal Pradesh,Cotton,2022,6234.6
Arunachal Pradesh,Cotton,2023,6473.7
Arunachal Pradesh,Cotton,2024,7198.5
Arunachal Pradesh,Cotton,2025,7203.3
Arunachal Pradesh,Pulses,2010,1386.9
Arunachal Pradesh,Pulses,2011,1349.3
Arunachal Pradesh,Pulses,2012,1353.8
Arunachal Pradesh,Pulses,2013,1451.3
Arunachal Pradesh,Pulses,2014,1293.1
Arunachal Pradesh,Pulses,2015,1191.5
Arunachal Pradesh,Pulses,2016,1238.8
Arunachal Pradesh,Pulses,2017,1239.8
Arunachal Pradesh,Pulses,2018,1429.6
Arunachal Pradesh,Pulses,2019,1310.7
Arunachal Pradesh,Pulses,2020,1168.5
Arunachal Pradesh,Pulses,2021,1320.8
Arunachal Pradesh,Pulses,2022,1169.0
Arunachal Pradesh,Pulses,2023,1245.6
Arunachal Pradesh,Pulses,2024,1288.3
Arunachal Pradesh,Pulses,2025,1318.3
Arunachal Pradesh,Soybean,2010,852.6
Arunachal Pradesh,Soybean,2011,998.0
Arunachal Pradesh,Soybean,2012,894.2
Arunachal Pradesh,Soybean,2013,863.6
Arunachal Pradesh,Soybean,2014,991.1
Arunachal Pradesh,Soybean,2015,977.2
Arunachal Pradesh,Soybean,2016,934.5
Arunachal Pradesh,Soybean,2017,974.0
Arunachal Pradesh,Soybean,2018,1072.7
Arunachal Pradesh,Soybean,2019,1035.1
Arunachal Pradesh,Soybean,2020,851.3
Arunachal Pradesh,Soybean,2021,1024.8
Arunachal Pradesh,Soybean,2022,937.1
Arunachal Pradesh,Soybean,2023,871.7
Arunachal Pradesh,Soybean,2024,894.9
Arunachal Pradesh,Soybean,2025,821.5
Arunachal Pradesh,Potato,2010,508.7
Arunachal Pradesh,Potato,2011,602.3
Arunachal Pradesh,Potato,2012,488.8
Arunachal Pradesh,Potato,2013,422.5
Arunachal Pradesh,Potato,2014,474.1
Arunachal Pradesh,Potato,2015,471.6
Arunachal Pradesh,Potato,2016,485.8
Arunachal Pradesh,Potato,2017,539.9
Arunachal Pradesh,Potato,2018,421.6
Arunachal Pradesh,Potato,2019,434.4
Arunachal Pradesh,Potato,2020,476.7
Arunachal Pradesh,Potato,2021,450.1
Arunachal Pradesh,Potato,2022,520.0
Arunachal Pradesh,Potato,2023,451.7
Arunachal Pradesh,Potato,2024,442.2
Arunachal Pradesh,Potato,2025,550.3
Arunachal Pradesh,Tea,2010,6858.7
Arunachal Pradesh,Tea,2011,6648.1
Arunachal Pradesh,Tea,2012,4783.3
Arunachal Pradesh,Tea,2013,5362.8
Arunachal Pradesh,Tea,2014,6853.4
Arunachal Pradesh,Tea,2015,6088.1
Arunachal Pradesh,Tea,2016,6854.5
Arunachal Pradesh,Tea,2017,5566.8
Arunachal Pradesh,Tea,2018,6095.0
Arunachal Pradesh,Tea,2019,5909.7
Arunachal Pradesh,Tea,2020,6285.4
Arunachal Pradesh,Tea,2021,6338.9
Arunachal Pradesh,Tea,2022,5681.1
Arunachal Pradesh,Tea,2023,6497.6
Arunachal Pradesh,Tea,2024,5456.9
Arunachal Pradesh,Tea,2025,6003.1
Arunachal Pradesh,Groundnut,2010,1821.9
Arunachal Pradesh,Groundnut,2011,2085.3
Arunachal Pradesh,Groundnut,2012,1737.3
Arunachal Pradesh,Groundnut,2013,2185.0
Arunachal Pradesh,Groundnut,2014,1849.9
Arunachal Pradesh,Groundnut,2015,2053.1
Arunachal Pradesh,Groundnut,2016,2060.8
Arunachal Pradesh,Groundnut,2017,2192.4
Arunachal Pradesh,Groundnut,2018,1908.2
Arunachal Pradesh,Groundnut,2019,2060.1
Arunachal Pradesh,Groundnut,2020,1940.7
Arunachal Pradesh,Groundnut,2021,1864.4
Arunachal Pradesh,Groundnut,2022,2330.0
Arunachal Pradesh,Groundnut,2023,1730.8
Arunachal Pradesh,Groundnut,2024,1802.1
Arunachal Pradesh,Groundnut,2025,2159.3
Assam,Rice,2010,2522.6
Assam,Rice,2011,2473.8
Assam,Rice,2012,2119.5
Assam,Rice,2013,2710.9
Assam,Rice,2014,2639.6
Assam,Rice,2015,2680.4
Assam,Rice,2016,2321.8
Assam,Rice,2017,2717.5
Assam,Rice,2018,2718.8
Assam,Rice,2019,2086.3
Assam,Rice,2020,2811.1
Assam,Rice,2021,2342.2
Assam,Rice,2022,2150.7
Assam,Rice,2023,2062.9
Assam,Rice,2024,2851.5
Assam,Rice,2025,2027.7
Assam,Wheat,2010,1662.4
Assam,Wheat,2011,1638.3
Assam,Wheat,2012,1485.4
Assam,Wheat,2013,1516.2
Assam,Wheat,2014,1612.3
Assam,Wheat,2015,1417.2
Assam,Wheat,2016,1460.6
Assam,Wheat,2017,1679.1
Assam,Wheat,2018,1293.7
Assam,Wheat,2019,1155.9
Assam,Wheat,2020,1509.7
Assam,Wheat,2021,1312.9
Assam,Wheat,2022,1528.7
Assam,Wheat,2023,1270.4
Assam,Wheat,2024,1102.0
Assam,Wheat,2025,1559.6
Assam,Maize,2010,844.5
Assam,Maize,2011,903.4
Assam,Maize,2012,932.4
Assam,Maize,2013,957.1
Assam,Maize,2014,732.4
Assam,Maize,2015,892.5
Assam,Maize,2016,1037.3
Assam,Maize,2017,945.0
Assam,Maize,2018,941.2
Assam,Maize,2019,897.2
Assam,Maize,2020,850.1
Assam,Maize,2021,842.3
Assam,Maize,2022,788.5
Assam,Maize,2023,817.0
Assam,Maize,2024,825.7
Assam,Maize,2025,759.7
Assam,Sugarcane,2010,14424.1
Assam,Sugarcane,2011,17181.5
Assam,Sugarcane,2012,16557.0
Assam,Sugarcane,2013,14832.1
Assam,Sugarcane,2014,15743.2
Assam,Sugarcane,2015,13791.9
Assam,Sugarcane,2016,14604.4
Assam,Sugarcane,2017,12718.3
Assam,Sugarcane,2018,15097.8
Assam,Sugarcane,2019,12844.8
Assam,Sugarcane,2020,19177.1
Assam,Sugarcane,2021,12936.8
Assam,Sugarcane,2022,14727.2
Assam,Sugarcane,2023,15071.8
Assam,Sugarcane,2024,13713.6
Assam,Sugarcane,2025,12486.8
Assam,Cotton,2010,7148.8
Assam,Cotton,2011,5681.2
Assam,Cotton,2012,6814.2
Assam,Cotton,2013,6263.6
Assam,Cotton,2014,7484.3
Assam,Cotton,2015,7006.9
Assam,Cotton,2016,7883.7
Assam,Cotton,2017,6507.6
Assam,Cotton,2018,5450.6
Assam,Cotton,2019,7324.5
Assam,Cotton,2020,5661.5
Assam,Cotton,2021,9299.1
Assam,Cotton,2022,7607.3
Assam,Cotton,2023,7174.3
Assam,Cotton,2024,6934.2
Assam,Cotton,2025,5676.1
Assam,Pulses,2010,1182.4
Assam,Pulses,2011,1118.3
Assam,Pulses,2012,1149.0
Assam,Pulses,2013,1249.6
Assam,Pulses,2014,876.6
Assam,Pulses,2015,1267.1
Assam,Pulses,2016,1259.4
Assam,Pulses,2017,1170.6
Assam,Pulses,2018,1309.7
Assam,Pulses,2019,1071.8
Assam,Pulses,2020,1476.5
Assam,Pulses,2021,1118.5
Assam,Pulses,2022,1068.9
Assam,Pulses,2023,1209.3
Assam,Pulses,2024,817.9
Assam,Pulses,2025,1153.5
Assam,Soybean,2010,976.3
Assam,Soybean,2011,924.3
Assam,Soybean,2012,775.2
Assam,Soybean,2013,962.6
Assam,Soybean,2014,879.2
Assam,Soybean,2015,871.9
Assam,Soybean,2016,955.2
Assam,Soybean,2017,1003.1
Assam,Soybean,2018,1037.0
Assam,Soybean,2019,1071.9
Assam,Soybean,2020,1087.0
Assam,Soybean,2021,910.5
Assam,Soybean,2022,936.7
Assam,Soybean,2023,1021.3
Assam,Soybean,2024,1014.1
Assam,Soybean,2025,1197.6
Assam,Potato,2010,464.1
Assam,Potato,2011,569.9
Assam,Potato,2012,422.6
Assam,Potato,2013,472.7
Assam,Potato,2014,466.1
Assam,Potato,2015,480.2
Assam,Potato,2016,542.9
Assam,Potato,2017,504.9
Assam,Potato,2018,444.7
Assam,Potato,2019,551.0
Assam,Potato,2020,418.2
Assam,Potato,2021,493.4
Assam,Potato,2022,465.4
Assam,Potato,2023,474.6
Assam,Potato,2024,427.2
Assam,Potato,2025,500.7
Assam,Tea,2010,5391.5
Assam,Tea,2011,5497.2
Assam,Tea,2012,6557.2
Assam,Tea,2013,5215.5
Assam,Tea,2014,5953.5
Assam,Tea,2015,6184.0
Assam,Tea,2016,6885.0
Assam,Tea,2017,5024.7
Assam,Tea,2018,5340.0
Assam,Tea,2019,5784.1
Assam,Tea,2020,6728.3
Assam,Tea,2021,6983.6
Assam,Tea,2022,6563.3
Assam,Tea,2023,5923.1
Assam,Tea,2024,7427.3
Assam,Tea,2025,5320.8
Assam,Groundnut,2010,2137.3
Assam,Groundnut,2011,1774.6
Assam,Groundnut,2012,1897.7
Assam,Groundnut,2013,2340.8
Assam,Groundnut,2014,2032.4
Assam,Groundnut,2015,1728.9
Assam,Groundnut,2016,1809.8
Assam,Groundnut,2017,2209.7
Assam,Groundnut,2018,2047.1
Assam,Groundnut,2019,2181.8
Assam,Groundnut,2020,2041.2
Assam,Groundnut,2021,2158.6
Assam,Groundnut,2022,1955.1
Assam,Groundnut,2023,2361.2
Assam,Groundnut,2024,2393.0
Assam,Groundnut,2025,1981.9
Bihar,Rice,2010,2662.0
Bihar,Rice,2011,2188.2
Bihar,Rice,2012,2851.8
Bihar,Rice,2013,2376.5
Bihar,Rice,2014,2793.1
Bihar,Rice,2015,2550.0
Bihar,Rice,2016,2842.1
Bihar,Rice,2017,2248.7
Bihar,Rice,2018,1913.6
Bihar,Rice,2019,2284.3
Bihar,Rice,2020,2500.7
Bihar,Rice,2021,2672.9
Bihar,Rice,2022,2840.4
Bihar,Rice,2023,2816.0
Bihar,Rice,2024,1839.7
Bihar,Rice,2025,2845.3
Bihar,Wheat,2010,1533.9
Bihar,Wheat,2011,1410.8
Bihar,Wheat,2012,1421.3
Bihar,Wheat,2013,1515.2
Bihar,Wheat,2014,1582.8
Bihar,Wheat,2015,1484.1
Bihar,Wheat,2016,1461.2
Bihar,Wheat,2017,1388.8
Bihar,Wheat,2018,1330.7
Bihar,Wheat,2019,1193.6
Bihar,Wheat,2020,1452.1
Bihar,Wheat,2021,1224.6
Bihar,Wheat,2022,1330.6
Bihar,Wheat,2023,1250.5
Bihar,Wheat,2024,1350.7
Bihar,Wheat,2025,1214.8
Bihar,Maize,2010,1022.8
Bihar,Maize,2011,971.6
Bihar,Maize,2012,899.5
Bihar,Maize,2013,899.0
Bihar,Maize,2014,1017.2
Bihar,Maize,2015,854.8
Bihar,Maize,2016,862.9
Bihar,Maize,2017,754.0
Bihar,Maize,2018,865.7
Bihar,Maize,2019,818.2
Bihar,Maize,2020,706.6
Bihar,Maize,2021,920.4
Bihar,Maize,2022,844.3
Bihar,Maize,2023,1006.6
Bihar,Maize,2024,890.9
Bihar,Maize,2025,803.9
Bihar,Sugarcane,2010,15089.2
Bihar,Sugarcane,2011,10916.5
Bihar,Sugarcane,2012,17033.9
Bihar,Sugarcane,2013,15058.9
Bihar,Sugarcane,2014,16392.2
Bihar,Sugarcane,2015,15296.1
Bihar,Sugarcane,2016,13545.1
Bihar,Sugarcane,2017,14205.8
Bihar,Sugarcane,2018,13846.6
Bihar,Sugarcane,2019,13108.6
Bihar,Sugarcane,2020,14433.5
Bihar,Sugarcane,2021,12319.5
Bihar,Sugarcane,2022,12107.9
Bihar,Sugarcane,2023,15303.8
Bihar,Sugarcane,2024,14931.2
Bihar,Sugarcane,2025,12212.1
Bihar,Cotton,2010,8543.5
Bihar,Cotton,2011,8726.6
Bihar,Cotton,2012,7427.4
Bihar,Cotton,2013,8337.7
Bihar,Cotton,2014,7033.8
Bihar,Cotton,2015,7232.0
Bihar,Cotton,2016,7215.7
Bihar,Cotton,2017,6375.1
Bihar,Cotton,2018,7337.7
Bihar,Cotton,2019,6188.9
Bihar,Cotton,2020,5772.3
Bihar,Cotton,2021,7340.6
Bihar,Cotton,2022,8383.8
Bihar,Cotton,2023,6865.5
Bihar,Cotton,2024,7249.9
Bihar,Cotton,2025,6585.7
Bihar,Pulses,2010,1030.4
Bihar,Pulses,2011,1299.6
Bihar,Pulses,2012,981.5
Bihar,Pulses,2013,1386.0
Bihar,Pulses,2014,991.5
Bihar,Pulses,2015,1075.8
Bihar,Pulses,2016,873.7
Bihar,Pulses,2017,1135.0
Bihar,Pulses,2018,1119.2
Bihar,Pulses,2019,1077.6
Bihar,Pulses,2020,1038.2
Bihar,Pulses,2021,993.1
Bihar,Pulses,2022,1243.5
Bihar,Pulses,2023,1192.9
Bihar,Pulses,2024,1215.1
Bihar,Pulses,2025,1025.3
Bihar,Soybean,2010,720.6
Bihar,Soybean,2011,1007.6
Bihar,Soybean,2012,1105.9
Bihar,Soybean,2013,966.8
Bihar,Soybean,2014,861.6
Bihar,Soybean,2015,864.4
Bihar,Soybean,2016,1090.2
Bihar,Soybean,2017,1030.2
Bihar,Soybean,2018,779.9
Bihar,Soybean,2019,919.2
Bihar,Soybean,2020,1026.4
Bihar,Soybean,2021,877.7
Bihar,Soybean,2022,1030.5
Bihar,Soybean,2023,922.6
Bihar,Soybean,2024,961.8
Bihar,Soybean,2025,795.9
Bihar,Potato,2010,539.0
Bihar,Potato,2011,429.1
Bihar,Potato,2012,491.5
Bihar,Potato,2013,514.8
Bihar,Potato,2014,562.9
Bihar,Potato,2015,464.6
Bihar,Potato,2016,526.8
Bihar,Potato,2017,437.5
Bihar,Potato,2018,422.1
Bihar,Potato,2019,539.8
Bihar,Potato,2020,428.6
Bihar,Potato,2021,488.6
Bihar,Potato,2022,389.5
Bihar,Potato,2023,527.6
Bihar,Potato,2024,466.3
Bihar,Potato,2025,533.2
Bihar,Tea,2010,6718.6
Bihar,Tea,2011,5415.4
Bihar,Tea,2012,6593.4
Bihar,Tea,2013,4863.5
Bihar,Tea,2014,6239.4
Bihar,Tea,2015,6927.0
Bihar,Tea,2016,7169.2
Bihar,Tea,2017,5817.6
Bihar,Tea,2018,6661.6
Bihar,Tea,2019,6474.8
Bihar,Tea,2020,5325.4
Bihar,Tea,2021,5598.3
Bihar,Tea,2022,5194.1
Bihar,Tea,2023,5144.7
Bihar,Tea,2024,5468.8
Bihar,Tea,2025,6619.8
Bihar,Groundnut,2010,2303.9
Bihar,Groundnut,2011,2433.1
Bihar,Groundnut,2012,2142.4
Bihar,Groundnut,2013,2274.0
Bihar,Groundnut,2014,1917.9
Bihar,Groundnut,2015,2230.5
Bihar,Groundnut,2016,2062.1
Bihar,Groundnut,2017,2112.1
Bihar,Groundnut,2018,1708.4
Bihar,Groundnut,2019,1780.5
Bihar,Groundnut,2020,1895.7
Bihar,Groundnut,2021,1499.5
Bihar,Groundnut,2022,2295.1
Bihar,Groundnut,2023,2218.1
Bihar,Groundnut,2024,2121.3
Bihar,Groundnut,2025,1938.6
Chhattisgarh,Rice,2010,2776.9
Chhattisgarh,Rice,2011,2731.5
Chhattisgarh,Rice,2012,2395.1
Chhattisgarh,Rice,2013,2653.6
Chhattisgarh,Rice,2014,2449.6
Chhattisgarh,Rice,2015,2126.0
Chhattisgarh,Rice,2016,2582.9
Chhattisgarh,Rice,2017,2581.2
Chhattisgarh,Rice,2018,2681.5
Chhattisgarh,Rice,2019,2316.3
Chhattisgarh,Rice,2020,2542.9
Chhattisgarh,Rice,2021,2211.1
Chhattisgarh,Rice,2022,2181.0
Chhattisgarh,Rice,2023,2477.0
Chhattisgarh,Rice,2024,2141.6
Chhattisgarh,Rice,2025,2200.1
Chhattisgarh,Wheat,2010,1601.9
Chhattisgarh,Wheat,2011,1375.4
Chhattisgarh,Wheat,2012,1560.5
Chhattisgarh,Wheat,2013,1352.6
Chhattisgarh,Wheat,2014,1570.7
Chhattisgarh,Wheat,2015,1290.7
Chhattisgarh,Wheat,2016,1654.3
Chhattisgarh,Wheat,2017,1255.6
Chhattisgarh,Wheat,2018,1325.2
Chhattisgarh,Wheat,2019,1538.9
Chhattisgarh,Wheat,2020,1400.9
Chhattisgarh,Wheat,2021,1284.8
Chhattisgarh,Wheat,2022,1315.7
Chhattisgarh,Wheat,2023,1548.0
Chhattisgarh,Wheat,2024,1513.4
Chhattisgarh,Wheat,2025,1496.8
Chhattisgarh,Maize,2010,929.1
Chhattisgarh,Maize,2011,819.6
Chhattisgarh,Maize,2012,1060.1
Chhattisgarh,Maize,2013,1009.1
Chhattisgarh,Maize,2014,876.0
Chhattisgarh,Maize,2015,968.0
Chhattisgarh,Maize,2016,995.8
Chhattisgarh,Maize,2017,942.0
Chhattisgarh,Maize,2018,885.2
Chhattisgarh,Maize,2019,817.2
Chhattisgarh,Maize,2020,906.5
Chhattisgarh,Maize,2021,930.0
Chhattisgarh,Maize,2022,722.5
Chhattisgarh,Maize,2023,753.0
Chhattisgarh,Maize,2024,865.2
Chhattisgarh,Maize,2025,974.4
Chhattisgarh,Sugarcane,2010,14282.8
Chhattisgarh,Sugarcane,2011,15009.7
Chhattisgarh,Sugarcane,2012,13370.7
